Fecha;Usuario;Productor;Producto;Cantidad;PrecioUnitario;TotalLinea;SubtotalFactura;ImpuestoFactura;TotalFactura
2024-01-05;Usuario12;Orgánicos del Valle;Tomate;2;650;1300.00;1300.00;169.00;1469.00
2024-01-09;Usuario33;Productores El Manantial;Zanahoria;1;550;550.00;550.00;71.50;621.50
2024-01-14;Usuario7;Productores La Montaña;Lechuga;3;450;1350.00;1350.00;175.50;1525.50
2024-01-22;Usuario21;EcoCampo CR;Papa;4;700;2800.00;2800.00;364.00;3164.00
2024-01-29;Usuario44;Finca Los Volcanes;Cebolla;2;600;1200.00;1200.00;156.00;1356.00
2024-02-01;Usuario18;Agrícola Verde Vivo;Melón;1;1500;1500.00;1500.00;195.00;1695.00
2024-02-05;Usuario3;Productores del Cerro;Piña;1;1300;1300.00;1300.00;169.00;1469.00
2024-02-10;Usuario29;Productores El Bosque;Repollo;2;550;1100.00;1100.00;143.00;1243.00
2024-02-11;Usuario50;Agrícola San Pedro;Aguacate;1;1800;1800.00;1800.00;234.00;2034.00
2024-02-15;Usuario6;Agrícola San Rafael;Limón;5;300;1500.00;1500.00;195.00;1695.00
2024-02-20;Usuario14;Orgánicos Pura Vida;Tomate;2;650;1300.00;1300.00;169.00;1469.00
2024-02-25;Usuario1;Finca Sol Naciente;Fresa;1;2200;2200.00;2200.00;286.00;2486.00
2024-03-01;Usuario10;Agrícola Las Lomas;Mora;3;800;2400.00;2400.00;312.00;2712.00
2024-03-05;Usuario37;Agrícola El Progreso;Plátano;4;500;2000.00;2000.00;260.00;2260.00
2024-03-10;Usuario22;Frutas del Sol;Naranja;2;900;1800.00;1800.00;234.00;2034.00
2024-03-12;Usuario5;Huerta Las Brisas;Manzana;2;1100;2200.00;2200.00;286.00;2486.00
2024-03-16;Usuario28;El Buen Productor;Papa;1;700;700.00;700.00;91.00;791.00
2024-03-20;Usuario46;Productores La Montaña;Cebolla;3;600;1800.00;1800.00;234.00;2034.00
2024-03-21;Usuario8;Valle Verde CR;Tomate;1;650;650.00;650.00;84.50;734.50
2024-03-28;Usuario31;Huerta La Cascada;Pepino;2;500;1000.00;1000.00;130.00;1130.00
2024-04-02;Usuario12;Orgánicos del Valle;Zanahoria;2;550;1100.00;1100.00;143.00;1243.00
2024-04-03;Usuario33;Productores El Manantial;Tomate;3;650;1950.00;1950.00;253.50;2203.50
2024-04-07;Usuario7;Productores La Montaña;Piña;1;1300;1300.00;1300.00;169.00;1469.00
2024-04-09;Usuario21;EcoCampo CR;Manzana;1;1100;1100.00;1100.00;143.00;1243.00
2024-04-10;Usuario44;Finca Los Volcanes;Aguacate;1;1800;1800.00;1800.00;234.00;2034.00
2024-04-14;Usuario18;Agrícola Verde Vivo;Limón;4;300;1200.00;1200.00;156.00;1356.00
2024-04-15;Usuario3;Productores del Cerro;Lechuga;2;450;900.00;900.00;117.00;1017.00
2024-04-16;Usuario29;Productores El Bosque;Papa;3;700;2100.00;2100.00;273.00;2373.00
2024-04-20;Usuario50;Agrícola San Pedro;Repollo;2;550;1100.00;1100.00;143.00;1243.00
2024-04-22;Usuario6;Agrícola San Rafael;Cebolla;2;600;1200.00;1200.00;156.00;1356.00
2024-04-23;Usuario14;Orgánicos Pura Vida;Pepino;5;500;2500.00;2500.00;325.00;2825.00
2024-04-24;Usuario1;Finca Sol Naciente;Fresa;2;2200;4400.00;4400.00;572.00;4972.00
2024-04-25;Usuario10;Agrícola Las Lomas;Mango;1;1500;1500.00;1500.00;195.00;1695.00
2024-04-26;Usuario37;Agrícola El Progreso;Plátano;3;500;1500.00;1500.00;195.00;1695.00
2024-04-28;Usuario22;Frutas del Sol;Naranja;1;900;900.00;900.00;117.00;1017.00
2024-04-29;Usuario5;Huerta Las Brisas;Melón;1;1500;1500.00;1500.00;195.00;1695.00
2024-05-01;Usuario28;El Buen Productor;Papa;2;700;1400.00;1400.00;182.00;1582.00
2024-05-02;Usuario46;Productores La Montaña;Tomate;3;650;1950.00;1950.00;253.50;2203.50
2024-05-03;Usuario8;Valle Verde CR;Zanahoria;1;550;550.00;550.00;71.50;621.50
2024-05-04;Usuario31;Huerta La Cascada;Cebolla;2;600;1200.00;1200.00;156.00;1356.00
2024-05-06;Usuario12;Orgánicos del Valle;Lechuga;3;450;1350.00;1350.00;175.50;1525.50
2024-05-10;Usuario33;Productores El Manantial;Tomate;1;650;650.00;650.00;84.50;734.50
2024-05-11;Usuario7;Productores La Montaña;Pepino;2;500;1000.00;1000.00;130.00;1130.00
2024-05-12;Usuario21;EcoCampo CR;Manzana;2;1100;2200.00;2200.00;286.00;2486.00
2024-05-14;Usuario44;Finca Los Volcanes;Fresa;1;2200;2200.00;2200.00;286.00;2486.00
2024-05-16;Usuario18;Agrícola Verde Vivo;Mora;4;800;3200.00;3200.00;416.00;3616.00
2024-05-19;Usuario3;Productores del Cerro;Piña;2;1300;2600.00;2600.00;338.00;2938.00
2024-05-21;Usuario29;Productores El Bosque;Papa;4;700;2800.00;2800.00;364.00;3164.00
2024-05-22;Usuario50;Agrícola San Pedro;Cebolla;2;600;1200.00;1200.00;156.00;1356.00
2024-05-23;Usuario6;Agrícola San Rafael;Melón;1;1500;1500.00;1500.00;195.00;1695.00
2024-05-25;Usuario14;Orgánicos Pura Vida;Tomate;3;650;1950.00;1950.00;253.50;2203.50
2024-05-27;Usuario1;Finca Sol Naciente;Aguacate;1;1800;1800.00;1800.00;234.00;2034.00
2024-05-28;Usuario10;Agrícola Las Lomas;Zanahoria;2;550;1100.00;1100.00;143.00;1243.00
2024-05-29;Usuario37;Agrícola El Progreso;Papa;3;700;2100.00;2100.00;273.00;2373.00
2024-06-01;Usuario22;Frutas del Sol;Pepino;4;500;2000.00;2000.00;260.00;2260.00
2024-06-03;Usuario5;Huerta Las Brisas;Manzana;1;1100;1100.00;1100.00;143.00;1243.00
2024-06-05;Usuario28;El Buen Productor;Lechuga;2;450;900.00;900.00;117.00;1017.00
2024-06-06;Usuario46;Productores La Montaña;Tomate;4;650;2600.00;2600.00;338.00;2938.00
2024-06-07;Usuario8;Valle Verde CR;Naranja;2;900;1800.00;1800.00;234.00;2034.00
2024-06-10;Usuario31;Huerta La Cascada;Fresa;1;2200;2200.00;2200.00;286.00;2486.00
2024-06-12;Usuario12;Orgánicos del Valle;Melón;1;1500;1500.00;1500.00;195.00;1695.00
2024-06-13;Usuario33;Productores El Manantial;Pepino;2;500;1000.00;1000.00;130.00;1130.00
2024-06-14;Usuario7;Productores La Montaña;Zanahoria;3;550;1650.00;1650.00;214.50;1864.50
2024-06-15;Usuario21;EcoCampo CR;Papa;1;700;700.00;700.00;91.00;791.00
2024-06-18;Usuario44;Finca Los Volcanes;Cebolla;2;600;1200.00;1200.00;156.00;1356.00
2024-06-20;Usuario18;Agrícola Verde Vivo;Manzana;2;1100;2200.00;2200.00;286.00;2486.00
2024-06-22;Usuario3;Productores del Cerro;Tomate;2;650;1300.00;1300.00;169.00;1469.00
2024-06-23;Usuario29;Productores El Bosque;Fresa;1;2200;2200.00;2200.00;286.00;2486.00
2024-06-24;Usuario50;Agrícola San Pedro;Repollo;3;550;1650.00;1650.00;214.50;1864.50
2024-06-26;Usuario6;Agrícola San Rafael;Piña;1;1300;1300.00;1300.00;169.00;1469.00
2024-06-27;Usuario14;Orgánicos Pura Vida;Papa;2;700;1400.00;1400.00;182.00;1582.00
2024-06-29;Usuario1;Finca Sol Naciente;Naranja;2;900;1800.00;1800.00;234.00;2034.00
2024-07-01;Usuario10;Agrícola Las Lomas;Melón;1;1500;1500.00;1500.00;195.00;1695.00
2024-07-03;Usuario37;Agrícola El Progreso;Zanahoria;4;550;2200.00;2200.00;286.00;2486.00
2024-07-05;Usuario22;Frutas del Sol;Cebolla;1;600;600.00;600.00;78.00;678.00
