Fecha;Usuario;Provincia;Canton;Distrito;Direccion;MetodoPago;Productor;Producto;Cantidad;PrecioUnitario;TotalLinea;SubtotalFactura;ImpuestoFactura;TotalFactura
2025-08-20;ntobal;SJ;SJ;SJ;SJ;Sinpe;EcoFinca La Esperanza;Mermelada de Fresa;5;1800.00;9000.00;9000.00;1170.00;10170.00
2025-09-20;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Agrícola Las Lomas;Mandarina;5;750.00;3750.00;3750.00;487.50;4237.50
2025-02-18;ntobal;SJ;SJ;SJ;SJ;Efectivo;EcoFinca La Esperanza;Té de Hierbas 50g;5;3900.00;19500.00;19500.00;2535.00;22035.00
2025-12-22;ntobal;SJ;SJ;SJ;SJ;Tarjeta;EcoFinca La Esperanza;Granola 500g;2;1600.00;3200.00;3200.00;416.00;3616.00
2025-11-12;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Agrícola San Pedro;Perejil;4;1150.00;4600.00;4600.00;598.00;5198.00
2025-02-02;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Finca Los Abuelos;Repollo;1;1750.00;1750.00;1750.00;227.50;1977.50
2025-01-16;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Agrícola San Pedro;Tomate;2;800.00;1600.00;1600.00;208.00;1808.00
2025-09-23;ntobal;SJ;SJ;SJ;SJ;Efectivo;EcoFinca La Esperanza;Leche de Almendra 1L;4;3200.00;12800.00;12800.00;1664.00;14464.00
2025-12-06;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta La Cascada;Ayote;3;1200.00;3600.00;3600.00;468.00;4068.00
2025-10-10;ntobal;SJ;SJ;SJ;SJ;Sinpe;Huerta Santa María;Apio;6;850.00;5100.00;5100.00;663.00;5763.00
2025-09-20;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta Santa María;Tomate;3;950.00;2850.00;2850.00;370.50;3220.50
2025-07-25;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Productores El Bosque;Lechuga;1;1350.00;1350.00;1350.00;175.50;1525.50
2025-01-09;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta Santa María;Cebollín;3;1050.00;3150.00;3150.00;409.50;3559.50
2025-07-12;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Agrícola San Pedro;Lechuga;2;500.00;1000.00;1000.00;130.00;1130.00
2025-05-19;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Productores Las Rosas;Maracuyá;1;2200.00;2200.00;2200.00;286.00;2486.00
2025-07-29;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta Las Brisas;Pera;3;950.00;2850.00;2850.00;370.50;3220.50
2025-01-31;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta Santa María;Brócoli;2;1400.00;2800.00;2800.00;364.00;3164.00
2025-10-14;ntobal;SJ;SJ;SJ;SJ;Tarjeta;EcoFinca La Esperanza;Jalea de Guayaba;4;700.00;2800.00;2800.00;364.00;3164.00
2025-03-09;ntobal;SJ;SJ;SJ;SJ;Tarjeta;Huerta La Cascada;Brócoli;5;1700.00;8500.00;8500.00;1105.00;9605.00
2025-08-04;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Productores Las Rosas;Piña;4;600.00;2400.00;2400.00;312.00;2712.00
2026-04-18;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta La Cascada;Fresa;3;2500.00;7500.00;7500.00;975.00;8475.00
2026-02-21;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Finca Los Abuelos;Berenjena;5;1450.00;7250.00;7250.00;942.50;8192.50
2026-01-05;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Agrícola San Pedro;Cebolla;2;1150.00;2300.00;2300.00;299.00;2599.00
2026-02-08;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta La Amistad;Papa;3;1050.00;3150.00;3150.00;409.50;3559.50
2026-11-04;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta Santa María;Coliflor;5;1800.00;9000.00;9000.00;1170.00;10170.00
2026-10-28;ntobal;SJ;SJ;SJ;SJ;Efectivo;Huerta Las Brisas;Tomate;5;1150.00;5750.00;5750.00;747.50;6497.50
2026-04-04;ntobal;SJ;SJ;SJ;SJ;Sinpe;EcoFinca La Esperanza;Mermelada de Fresa;5;650.00;3250.00;3250.00;422.50;3672.50
2026-05-08;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Finca Los Abuelos;Cebollín;2;1750.00;3500.00;3500.00;455.00;3955.00
2026-04-11;ntobal;SJ;SJ;SJ;SJ;Tarjeta;Huerta La Cascada;Tomate;6;1450.00;8700.00;8700.00;1131.00;9831.00
2026-08-04;ntobal;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Productores Las Rosas;Coco;4;1400.00;5600.00;5600.00;728.00;6328.00
2025-12-27;vramirez;SJ;SJ;SJ;SJ;Sinpe;Huerta Santa María;Acelga;1;1250.00;1250.00;1250.00;162.50;1412.50
2025-03-31;asalas;Heredia;Heredia;Heredia;San Francisco;Sinpe;Agrícola El Progreso;Papaya;7;1400.00;9800.00;9800.00;1274.00;11074.00
2025-04-15;rcastro;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos del Valle;Aguacate;4;1300.00;5200.00;5200.00;676.00;5876.00
2025-04-01;drojas;Heredia;Heredia;Heredia;San Francisco;Efectivo;Productores La Montaña;Limón;4;1150.00;4600.00;4600.00;598.00;5198.00
2025-08-19;glepez;Limón;Limón;Limón;Centro;Efectivo;Frutas del Sol;Café Molido 500g;5;1800.00;9000.00;9000.00;1170.00;10170.00
2026-10-30;rblanco;SJ;SJ;SJ;SJ;Tarjeta;EcoFinca La Esperanza;Tortillas Maíz (12);6;3000.00;18000.00;18000.00;2340.00;20340.00
2025-01-18;sleon;Limón;Limón;Limón;Centro;Tarjeta;Finca Sol Naciente;Tomate;4;1000.00;4000.00;4000.00;520.00;4520.00
2026-06-13;drojas;Cartago;Cartago;Cartago;Centro;Efectivo;Agrícola San Rafael;Granola 500g;1;2900.00;2900.00;2900.00;377.00;3277.00
2026-12-27;scamacho;Heredia;Heredia;Heredia;San Francisco;Sinpe;Productores La Montaña;Cebolla;4;1300.00;5200.00;5200.00;676.00;5876.00
2025-02-09;scamacho;Cartago;Cartago;Cartago;Centro;Tarjeta;Finca Mis Raíces;Banano;3;550.00;1650.00;1650.00;214.50;1864.50
2025-12-06;mgomez;Cartago;Cartago;Cartago;Centro;Tarjeta;Finca Mis Raíces;Tomate;7;1200.00;8400.00;8400.00;1092.00;9492.00
2025-11-24;lnaranjo;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Productores El Bosque;Cebolla;1;1400.00;1400.00;1400.00;182.00;1582.00
2026-12-22;mvargas;Heredia;Heredia;Heredia;San Francisco;Sinpe;Agrícola El Progreso;Papaya;6;950.00;5700.00;5700.00;741.00;6441.00
2025-09-21;orodriguez;Heredia;Heredia;Heredia;San Francisco;Efectivo;Finca El Porvenir;Melón;7;1300.00;9100.00;9100.00;1183.00;10283.00
2025-12-24;drojas;SJ;SJ;SJ;SJ;Efectivo;Huerta La Cascada;Repollo;1;1200.00;1200.00;1200.00;156.00;1356.00
2025-01-06;mvargas;SJ;SJ;SJ;SJ;Sinpe;Huerta Las Brisas;Apio;5;1500.00;7500.00;7500.00;975.00;8475.00
2025-06-25;projas;SJ;SJ;SJ;SJ;Efectivo;Huerta La Cascada;Tomate;6;1400.00;8400.00;8400.00;1092.00;9492.00
2026-04-12;tmendez;SJ;SJ;SJ;SJ;Sinpe;Huerta Las Brisas;Zanahoria;2;950.00;1900.00;1900.00;247.00;2147.00
2025-10-26;ccespedes;Cartago;Cartago;Cartago;Centro;Efectivo;Finca Mis Raíces;Sal Rosada 500g;2;4200.00;8400.00;8400.00;1092.00;9492.00
2026-01-21;fjimenez;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Finca Los Abuelos;Pepino;2;1200.00;2400.00;2400.00;312.00;2712.00
2025-04-20;rcastro;Heredia;Heredia;Heredia;San Francisco;Sinpe;Agrícola El Progreso;Pepino;1;1150.00;1150.00;1150.00;149.50;1299.50
2025-11-16;mgomez;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Productores El Bosque;Zanahoria;5;1200.00;6000.00;6000.00;780.00;6780.00
2026-01-22;tmendez;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;EcoCampo CR;Cebolla;7;500.00;3500.00;3500.00;455.00;3955.00
2025-03-11;caraya;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Productores Las Rosas;Guayaba;3;1450.00;4350.00;4350.00;565.50;4915.50
2025-03-14;asalas;Heredia;Heredia;Heredia;San Francisco;Sinpe;Finca El Porvenir;Culantro;1;1650.00;1650.00;1650.00;214.50;1864.50
2025-11-24;vramirez;Heredia;Heredia;Heredia;San Francisco;Tarjeta;Valle Verde CR;Lechuga;4;600.00;2400.00;2400.00;312.00;2712.00
2025-01-06;projas;Heredia;Heredia;Heredia;San Francisco;Sinpe;Productores La Montaña;Avena 1kg;2;2000.00;4000.00;4000.00;520.00;4520.00
2025-06-27;ksolis;Limón;Limón;Limón;Centro;Efectivo;Finca Tierra Fértil;Arroz Integral 1kg;1;1900.00;1900.00;1900.00;247.00;2147.00
2025-07-18;phernandez;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Productores El Bosque;Rábano;7;1550.00;10850.00;10850.00;1410.50;12260.50
2025-10-19;scamacho;Heredia;Heredia;Heredia;San Francisco;Efectivo;Finca El Porvenir;Melón;2;1450.00;2900.00;2900.00;377.00;3277.00
2026-11-25;rblanco;Heredia;Heredia;Heredia;San Francisco;Efectivo;Finca El Porvenir;Banano;6;750.00;4500.00;4500.00;585.00;5085.00
2025-06-14;mvargas;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Finca Los Abuelos;Tomate Cherry;4;1300.00;5200.00;5200.00;676.00;5876.00
2025-01-20;pmurillo;Limón;Limón;Limón;Centro;Sinpe;Finca Sol Naciente;Arroz Integral 1kg;7;1400.00;9800.00;9800.00;1274.00;11074.00
2025-01-15;tmendez;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;EcoCampo CR;Miel 250ml;4;3800.00;15200.00;15200.00;1976.00;17176.00
2025-06-21;jmata;Cartago;Cartago;Cartago;Centro;Efectivo;Finca Mis Raíces;Cebolla;4;1700.00;6800.00;6800.00;884.00;7684.00
2026-09-10;scamacho;SJ;SJ;SJ;SJ;Tarjeta;Huerta Las Brisas;Uva;5;3200.00;16000.00;16000.00;2080.00;18080.00
2025-10-15;lsoto;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Agrícola Las Lomas;Piña;4;1250.00;5000.00;5000.00;650.00;5650.00
2025-07-15;phernandez;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos Pura Vida;Café Molido 500g;7;3100.00;21700.00;21700.00;2821.00;24521.00
2025-09-12;jmata;SJ;SJ;SJ;SJ;Tarjeta;Huerta La Cascada;Zanahoria;2;1300.00;2600.00;2600.00;338.00;2938.00
2025-01-15;pblanco;Cartago;Cartago;Cartago;Centro;Efectivo;Agrícola Verde Vivo;Miel 250ml;1;3000.00;3000.00;3000.00;390.00;3390.00
