Productor;NombreProducto;Precio;Cantidad;UnidadMedida
Agrícola El Progreso;Apio;1200;123;Kilogramos
Agrícola El Progreso;Berenjena;1100;123;Kilogramos
Agrícola El Progreso;Guayaba;1100;124;Kilogramos
Agrícola El Progreso;Mandarina;1100;73;Kilogramos
Agrícola El Progreso;Maracuyá;750;69;Kilogramos
Agrícola El Progreso;Melón;2800;63;Unidades
Agrícola El Progreso;Mora;1800;168;Kilogramos
Agrícola El Progreso;Pepino;1100;161;Kilogramos
Agrícola El Progreso;Pera;800;177;Kilogramos
Agrícola El Progreso;Remolacha;2000;133;Kilogramos
Agrícola El Progreso;Rábano;500;97;Kilogramos
Agrícola El Progreso;Tomate;2200;63;Kilogramos
Agrícola El Progreso;Uva;850;150;Kilogramos
Agrícola El Progreso;Yam;1200;139;Kilogramos
Agrícola El Progreso;Yuca;1800;117;Kilogramos
Agrícola Las Lomas;Albahaca;750;141;Kilogramos
Agrícola Las Lomas;Banano;1800;33;Kilogramos
Agrícola Las Lomas;Calabacín;1600;126;Kilogramos
Agrícola Las Lomas;Coco;2800;13;Unidades
Agrícola Las Lomas;Coliflor;1200;136;Kilogramos
Agrícola Las Lomas;Culantro;1800;100;Kilogramos
Agrícola Las Lomas;Limón;1200;51;Kilogramos
Agrícola Las Lomas;Manzana;1100;173;Kilogramos
Agrícola Las Lomas;Maracuyá (bolsa);1800;110;Kilogramos
Agrícola Las Lomas;Melón;1100;15;Unidades
Agrícola Las Lomas;Melón (pulpa);1100;15;Unidades
Agrícola Las Lomas;Papaya;1800;44;Kilogramos
Agrícola Las Lomas;Perejil;950;115;Kilogramos
Agrícola Las Lomas;Remolacha;1400;53;Kilogramos
Agrícola Las Lomas;Yuca;700;100;Kilogramos
Agrícola San Pedro;Albahaca;750;75;Kilogramos
Agrícola San Pedro;Banano;1100;180;Kilogramos
Agrícola San Pedro;Brócoli;800;128;Kilogramos
Agrícola San Pedro;Chile Dulce;3200;43;Unidades
Agrícola San Pedro;Culantro;1200;91;Kilogramos
Agrícola San Pedro;Oreganito;950;31;Kilogramos
Agrícola San Pedro;Perejil;1200;46;Kilogramos
Agrícola San Pedro;Pimiento;700;111;Kilogramos
Agrícola San Pedro;Piña;900;58;Unidades
Agrícola San Pedro;Plátano verde;650;161;Kilogramos
Agrícola San Pedro;Remolacha;2000;157;Kilogramos
Agrícola San Pedro;Repollo;700;116;Kilogramos
Agrícola San Pedro;Rábano;650;117;Kilogramos
Agrícola San Pedro;Sandía;1500;38;Unidades
Agrícola San Pedro;Zanahoria;1400;174;Kilogramos
Agrícola San Rafael;Arracache;600;178;Kilogramos
Agrícola San Rafael;Ayote;800;96;Kilogramos
Agrícola San Rafael;Camote;1200;180;Kilogramos
Agrícola San Rafael;Chayote;2200;158;Kilogramos
Agrícola San Rafael;Coco;1700;32;Unidades
Agrícola San Rafael;Coliflor;1400;130;Kilogramos
Agrícola San Rafael;Durazno;1200;34;Kilogramos
Agrícola San Rafael;Elote;700;133;Kilogramos
Agrícola San Rafael;Limón;1800;164;Kilogramos
Agrícola San Rafael;Melón (pulpa);1100;37;Unidades
Agrícola San Rafael;Papa;500;31;Kilogramos
Agrícola San Rafael;Papaya (unidad);1100;25;Unidades
Agrícola San Rafael;Pera;1100;78;Kilogramos
Agrícola San Rafael;Pitahaya;1100;58;Unidades
Agrícola San Rafael;Piña (pulpa);1300;25;Unidades
Agrícola Verde Vivo;Acelga;1100;76;Kilogramos
Agrícola Verde Vivo;Aguacate;2500;38;Unidades
Agrícola Verde Vivo;Arracache;950;162;Kilogramos
Agrícola Verde Vivo;Banano;1400;128;Kilogramos
Agrícola Verde Vivo;Brócoli;1200;91;Kilogramos
Agrícola Verde Vivo;Durazno;500;43;Kilogramos
Agrícola Verde Vivo;Espinaca;2200;162;Kilogramos
Agrícola Verde Vivo;Guanábana;900;124;Kilogramos
Agrícola Verde Vivo;Limón;1400;141;Kilogramos
Agrícola Verde Vivo;Manzana;1200;110;Kilogramos
Agrícola Verde Vivo;Maracuyá (bolsa);1600;82;Kilogramos
Agrícola Verde Vivo;Perejil;500;152;Kilogramos
Agrícola Verde Vivo;Plátano verde;1100;168;Kilogramos
Agrícola Verde Vivo;Zanahoria;850;41;Kilogramos
Agrícola Verde Vivo;Ñame;900;141;Kilogramos
EcoCampo CR;Arracache;1800;124;Kilogramos
EcoCampo CR;Ayote;500;167;Kilogramos
EcoCampo CR;Banano;900;144;Kilogramos
EcoCampo CR;Camote;1600;59;Kilogramos
EcoCampo CR;Cúrcuma;750;79;Kilogramos
EcoCampo CR;Espinaca;600;72;Kilogramos
EcoCampo CR;Mango;900;89;Kilogramos
EcoCampo CR;Maracuyá (bolsa);1100;119;Kilogramos
EcoCampo CR;Papaya (unidad);1900;44;Unidades
EcoCampo CR;Pera;850;36;Kilogramos
EcoCampo CR;Pimiento;2000;126;Kilogramos
EcoCampo CR;Pitahaya;2200;40;Unidades
EcoCampo CR;Plátano verde;500;110;Kilogramos
EcoCampo CR;Uva;1800;157;Kilogramos
EcoCampo CR;Ñame;1800;119;Kilogramos
EcoFinca La Esperanza;Apio;1400;155;Kilogramos
EcoFinca La Esperanza;Brócoli;2200;95;Kilogramos
